col3,RN051
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
0,1
101,1
-1,0
