col30,RN125
,0
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
8,0
1,1
3,1
